Mon May  5 09:40:35 -10 2025 | GPU:  | CPU: CPU usage: 4.18% user, 11.2% sys, 84.79% idle 
Mon May  5 09:40:45 -10 2025 | GPU:  | CPU: CPU usage: 4.19% user, 10.30% sys, 85.49% idle 
Mon May  5 09:40:56 -10 2025 | GPU:  | CPU: CPU usage: 4.23% user, 10.76% sys, 85.0% idle 
Mon May  5 09:41:07 -10 2025 | GPU:  | CPU: CPU usage: 5.71% user, 10.61% sys, 83.67% idle 
Mon May  5 09:41:17 -10 2025 | GPU:  | CPU: CPU usage: 6.3% user, 9.91% sys, 84.5% idle 
Mon May  5 09:41:28 -10 2025 | GPU:  | CPU: CPU usage: 7.20% user, 10.59% sys, 82.20% idle 
Mon May  5 09:41:38 -10 2025 | GPU:  | CPU: CPU usage: 4.52% user, 9.46% sys, 86.0% idle 
Mon May  5 09:41:49 -10 2025 | GPU:  | CPU: CPU usage: 6.25% user, 11.71% sys, 82.3% idle 
Mon May  5 09:41:59 -10 2025 | GPU:  | CPU: CPU usage: 3.37% user, 10.11% sys, 86.51% idle 
Mon May  5 09:42:10 -10 2025 | GPU:  | CPU: CPU usage: 4.51% user, 10.90% sys, 84.58% idle 
Mon May  5 09:42:20 -10 2025 | GPU:  | CPU: CPU usage: 2.74% user, 9.1% sys, 88.23% idle 
Mon May  5 09:42:31 -10 2025 | GPU:  | CPU: CPU usage: 3.80% user, 9.50% sys, 86.69% idle 
Mon May  5 09:42:41 -10 2025 | GPU:  | CPU: CPU usage: 3.32% user, 9.59% sys, 87.8% idle 
Mon May  5 09:42:52 -10 2025 | GPU:  | CPU: CPU usage: 5.40% user, 9.65% sys, 84.94% idle 
Mon May  5 09:43:02 -10 2025 | GPU:  | CPU: CPU usage: 6.1% user, 10.52% sys, 83.45% idle 
Mon May  5 09:43:13 -10 2025 | GPU:  | CPU: CPU usage: 4.18% user, 9.50% sys, 86.31% idle 
Mon May  5 09:43:23 -10 2025 | GPU:  | CPU: CPU usage: 3.83% user, 9.19% sys, 86.97% idle 
Mon May  5 09:43:34 -10 2025 | GPU:  | CPU: CPU usage: 4.59% user, 10.34% sys, 85.5% idle 
Mon May  5 09:43:44 -10 2025 | GPU:  | CPU: CPU usage: 3.47% user, 9.65% sys, 86.87% idle 
Mon May  5 09:43:55 -10 2025 | GPU:  | CPU: CPU usage: 3.90% user, 8.98% sys, 87.10% idle 
Mon May  5 09:44:06 -10 2025 | GPU:  | CPU: CPU usage: 4.68% user, 10.93% sys, 84.37% idle 
Mon May  5 09:44:16 -10 2025 | GPU:  | CPU: CPU usage: 8.76% user, 11.55% sys, 79.68% idle 
